dataset,model,weights,n_features_model,feature selection,selected_features,common_elements_random_choice,classifier_for_comparison,accuracy,f1,precision,recall,roc_auc
cats_and_dogs,resnet34,finetuned,512,all features,,,RandomForestClassifier,0.989320803075609,0.989177489177489,0.982795698924731,0.995642701525055,0.999614013086499
cats_and_dogs,resnet34,finetuned,512,brkga features,284,,RandomForestClassifier,0.988039299444682,0.987889273356401,0.980678402747961,0.99520697167756,0.999278042921307
cats_and_dogs,resnet34,finetuned,512,random features,284,143,RandomForestClassifier,0.986757795813755,0.986614853195164,0.977749251176722,0.995642701525055,0.999472177271039
cats_and_dogs,resnet34,finetuned,512,random features,284,166,RandomForestClassifier,0.985476292182828,0.985332182916307,0.975651431012388,0.99520697167756,0.999315099125346
cats_and_dogs,resnet34,finetuned,512,random features,284,150,RandomForestClassifier,0.986117043998291,0.985982316152685,0.976088812980359,0.996078431372549,0.999504396088836
cats_and_dogs,resnet34,finetuned,512,random features,284,159,RandomForestClassifier,0.988466467321657,0.988326848249027,0.980694980694981,0.996078431372549,0.999353524400963
cats_and_dogs,resnet34,finetuned,512,random features,284,157,RandomForestClassifier,0.986757795813755,0.986614853195164,0.977749251176722,0.995642701525055,0.999398795034469
cats_and_dogs,resnet34,finetuned,512,random features,284,163,RandomForestClassifier,0.985476292182828,0.985338507977577,0.97524541186513,0.995642701525055,0.999474367785563
cats_and_dogs,resnet34,finetuned,512,random features,284,160,RandomForestClassifier,0.987825715506194,0.987665007574118,0.981083404987102,0.994335511982571,0.999445982368184
cats_and_dogs,resnet34,finetuned,512,random features,284,148,RandomForestClassifier,0.987612131567706,0.987451319774989,0.980661796304254,0.994335511982571,0.999411938121616
cats_and_dogs,resnet34,finetuned,512,random features,284,158,RandomForestClassifier,0.989534387014097,0.989405405405405,0.981974248927039,0.996949891067538,0.999630807031187
cats_and_dogs,resnet34,finetuned,512,random features,284,152,RandomForestClassifier,0.985903460059803,0.985726643598616,0.978531558608845,0.993028322440087,0.999373786660314
cats_and_dogs,mobilenet_v3_small,finetuned,576,all features,,,RandomForestClassifier,0.969243912857753,0.969543147208122,0.966680725432307,0.972422571064913,0.995733413624938
cats_and_dogs,mobilenet_v3_small,finetuned,576,brkga features,332,,RandomForestClassifier,0.96860316104229,0.968941474751743,0.96506734006734,0.972846839202376,0.995575111427411
cats_and_dogs,mobilenet_v3_small,finetuned,576,random features,332,193,RandomForestClassifier,0.966253737718924,0.966666666666667,0.961393201846412,0.97199830292745,0.994517908221222
